,vix,t10y2y,fedfunds,cpi,unrate,GPRD,GPRD_ACT,GPRD_THREAT
2008-01-01,,,3.94,212.174,5.0,63.3708610534668,57.43254089355469,76.64706420898438
2008-01-02,23.17,1.03,,,,94.99882507324219,123.53010559082031,68.69086456298828
2008-01-03,22.49,1.08,,,,82.81419372558594,105.67588806152344,60.599082946777344
2008-01-04,23.94,1.14,,,,87.34965515136719,73.6837387084961,89.39566040039062
2008-01-07,23.79,1.1,,,,78.18482208251953,57.43254089355469,82.1218490600586
2008-01-08,25.43,1.1,,,,84.4563980102539,68.60450744628906,98.83960723876953
2008-01-09,24.12,1.13,,,,123.0382308959961,150.96554565429688,94.44012451171875
2008-01-10,23.45,1.2,,,,104.03104400634766,109.16929626464844,104.71666717529297
2008-01-11,23.68,1.23,,,,56.54877471923828,71.21015930175781,34.64784622192383
2008-01-14,22.9,1.23,,,,90.8050308227539,72.42042541503906,90.60868072509766
2008-01-15,23.34,1.19,,,,95.92377471923828,108.37898254394531,74.44605255126953
2008-01-16,24.38,1.23,,,,94.73210144042969,121.85871124267578,66.06743621826172
2008-01-17,28.46,1.22,,,,72.98877716064453,100.75031280517578,37.349205017089844
2008-01-18,27.18,1.3,,,,47.153987884521484,41.13273620605469,53.91377639770508
2008-01-21,,,,,,81.09101104736328,80.84140014648438,87.65863037109375
2008-01-22,31.01,1.44,,,,83.2303466796875,73.01725769042969,88.5870590209961
2008-01-23,29.02,1.42,,,,137.00877380371094,121.41071319580078,126.58564758300781
2008-01-24,27.78,1.43,,,,88.51395416259766,69.52360534667969,98.13616180419922
2008-01-25,29.08,1.38,,,,92.98435974121094,110.07904815673828,82.15186309814453
2008-01-28,27.78,1.41,,,,89.23943328857422,85.40615844726562,94.9828872680664
2008-01-29,27.32,1.4,,,,66.88838958740234,50.80571365356445,90.05109405517578
2008-01-30,27.62,1.48,,,,36.60295867919922,43.78834915161133,30.436508178710938
2008-01-31,26.2,1.5,,,,93.08041381835938,141.9200897216797,54.63478469848633
2008-02-01,24.02,1.53,2.98,212.687,4.9,99.69034576416016,68.14867401123047,108.94856262207031
2008-02-04,25.99,1.6,,,,117.29048919677734,134.6460418701172,94.57524108886719
2008-02-05,28.24,1.68,,,,99.17867279052734,118.6480712890625,71.47415161132812
2008-02-06,28.97,1.65,,,,85.01548767089844,102.91532897949219,80.79204559326172
2008-02-07,27.66,1.75,,,,52.53874588012695,41.90161895751953,56.79389190673828
2008-02-08,28.01,1.71,,,,77.52183532714844,71.33834838867188,74.37903594970703
2008-02-11,27.6,1.69,,,,89.335693359375,85.498291015625,89.14252471923828
2008-02-12,26.33,1.72,,,,90.06981658935547,146.32864379882812,66.57411193847656
2008-02-13,24.88,1.79,,,,102.6158447265625,70.33123779296875,122.65940856933594
2008-02-14,25.54,1.92,,,,89.60224151611328,86.61957550048828,85.7960205078125
2008-02-15,25.02,1.85,,,,114.53026580810547,128.81590270996094,87.90969848632812
2008-02-18,,,,,,106.592529296875,138.96116638183594,95.4531021118164
2008-02-19,25.59,1.83,,,,114.22647094726562,120.99205780029297,94.9828872680664
2008-02-20,24.4,1.79,,,,73.74918365478516,79.64903259277344,61.32476043701172
2008-02-21,25.12,1.79,,,,83.10074615478516,102.84201049804688,57.18693161010742
2008-02-22,24.06,1.81,,,,81.02235412597656,86.98625946044922,77.73764038085938
2008-02-25,23.03,1.78,,,,83.66990661621094,83.41236114501953,75.8990707397461
2008-02-26,21.9,1.84,,,,103.2244873046875,106.02513885498047,98.83960723876953
2008-02-27,22.69,1.84,,,,67.12692260742188,40.73409652709961,87.36751556396484
2008-02-28,23.53,1.84,,,,90.67764282226562,84.74862670898438,89.53904724121094
2008-02-29,26.54,1.88,,,,81.01388549804688,119.65113067626953,54.89047622680664
2008-03-01,,,2.61,213.448,5.1,80.48759460449219,90.26982879638672,66.9279556274414
2008-03-03,26.28,1.93,,,,122.55419921875,158.11135864257812,113.89678192138672
2008-03-04,25.52,1.98,,,,160.11337280273438,170.26190185546875,171.60174560546875
2008-03-05,24.6,2.04,,,,95.7562484741211,89.49515533447266,109.48343658447266
2008-03-06,27.55,2.09,,,,113.2253646850586,104.19401550292969,130.36215209960938
2008-03-07,27.49,2.03,,,,91.68714141845703,129.73602294921875,59.025081634521484
2008-03-10,29.38,1.99,,,,64.74073791503906,93.22655487060547,29.907751083374023
2008-03-11,26.36,1.86,,,,39.71110153198242,59.383296966552734,27.517520904541016
2008-03-12,27.22,1.86,,,,99.55804443359375,84.2134780883789,100.34622192382812
2008-03-13,27.29,1.93,,,,51.29485321044922,64.59406280517578,40.40837097167969
2008-03-14,31.16,1.97,,,,89.45330810546875,100.32520294189453,69.7342758178711
2008-03-17,32.24,1.99,,,,59.61876678466797,59.43525695800781,49.57487487792969
2008-03-18,25.79,1.9,,,,80.56759643554688,86.49803161621094,66.9944839477539
2008-03-19,29.84,1.84,,,,77.10543060302734,65.04222869873047,78.9114761352539
2008-03-20,26.62,1.75,,,,38.263980865478516,43.59566116333008,31.817699432373047
2008-03-21,,,,,,84.93763732910156,84.67618560791016,76.51399230957031
2008-03-24,25.73,1.72,,,,98.02912902832031,105.87133026123047,81.51428985595703
2008-03-25,25.72,1.72,,,,86.4802017211914,119.9499282836914,68.78443145751953
2008-03-26,26.08,1.8,,,,74.50949096679688,86.66016387939453,67.12005615234375
2008-03-27,25.88,1.83,,,,64.89698028564453,50.63261032104492,84.46519470214844
2008-03-28,25.71,1.8,,,,84.05951690673828,31.037322998046875,119.08568572998047
2008-03-31,25.61,1.83,,,,108.1024398803711,100.07186126708984,121.99434661865234
2008-04-01,22.68,1.77,2.28,213.942,5.0,60.84307861328125,60.65579605102539,50.592926025390625
2008-04-02,23.43,1.72,,,,80.7214126586914,71.53150939941406,84.52448272705078
2008-04-03,23.21,1.7,,,,68.00823211669922,56.499080657958984,65.97614288330078
2008-04-04,22.45,1.67,,,,65.65449523925781,41.65153121948242,79.40911865234375
